wk_strt_dt,sales,Direct Mail,Insert,Newspaper,Online Display,Radio,Social Media,TV,hldy_Black Friday,hldy_Christmas Day,hldy_Christmas Eve,hldy_Columbus Day,hldy_Cyber Monday,hldy_Day after Christmas,hldy_Easter,hldy_Father's Day,hldy_Green Monday,hldy_July 4th,hldy_Labor Day,hldy_MLK,hldy_Memorial Day,hldy_Mother's Day,hldy_NYE,hldy_New Year's Day,hldy_Pre Thanksgiving,hldy_Presidents Day,hldy_Prime Day,hldy_Thanksgiving,hldy_Valentine's Day,hldy_Veterans Day
2014-08-03,72051457.64,678410.26,129759.66,507635.16,61364.75,254134.14,0.0,216725.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-10,78794770.54,661097.71,70355.33,625719.37,132643.9,106602.98,0.0,108919.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-17,70071185.56,1874338.43,107720.37,277532.61,76741.27,59011.42,0.0,74032.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-24,68642464.59,306583.37,141708.61,186028.61,193043.55,178010.46,0.0,110995.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-31,86190784.65,2366274.16,160691.3,706694.09,249612.89,144097.56,0.0,225140.84,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-09-07,56120616.39,551660.91,54611.44,420740.17,156145.21,160774.8,0.0,112061.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-14,125634433.34,1249748.19,37601.75,181439.02,368607.31,128558.88,650.53,169156.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-21,110756935.66,1200840.95,72652.65,260108.46,178897.74,77428.05,1138.42,193112.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-28,116192534.8,679543.45,62239.3,205079.73,255042.36,22725.67,1628.94,156913.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-05,129263590.24,597511.18,91521.07,446360.8,218050.84,172517.15,1500.06,202935.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-12,142052815.71,2061821.25,154363.7,730019.09,135022.96,133880.82,2142.88,162216.38,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-19,71754043.8,916455.19,55862.95,525253.99,117714.42,290259.06,11200.01,162098.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-26,123589119.59,484903.7,60076.42,540098.42,152480.04,69002.47,2800.0,59832.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-02,77587533.88,1885080.56,196485.15,244989.63,267335.48,129415.89,5035.45,230763.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-09,153818239.98,827785.48,94388.12,599363.88,179366.52,65230.29,8188.53,357867.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014-11-16,188168749.0,1952211.28,141990.26,734726.63,271521.12,259902.69,11890.97,425195.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-23,152932619.03,2285885.34,590148.11,1207930.38,397679.4,179152.14,128992.07,392581.65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2014-11-30,307377803.91,768569.58,77002.53,437211.98,260737.55,119986.63,11609.86,613788.36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-07,164024323.52,1386270.56,124205.44,2198467.4,485320.56,272215.52,15255.99,769348.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-14,351597976.78,937645.57,378254.74,1049608.33,284212.27,283360.76,14459.01,643356.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-21,323162004.36,705524.33,309908.81,2053156.13,446930.5,162091.54,15230.44,753124.44,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-28,106476773.66,685817.13,192306.4,335860.68,235677.83,194071.48,6909.42,321707.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2015-01-04,106622600.96,41763.2,40592.32,566405.65,115032.31,58684.21,0.0,49883.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-11,63460787.37,1232500.13,56105.1,424603.53,69430.23,133089.32,840.0,96811.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-18,53503558.27,713458.55,57215.99,546957.34,61591.26,4149.71,2030.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015-01-25,98546829.45,1241777.59,1138.73,768836.96,86573.51,74131.52,3480.01,41206.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-01,66774705.14,595721.78,154408.32,583367.9,101755.16,202897.52,16772.42,164465.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-08,83666133.95,525.77,213190.78,166776.31,179574.67,179236.58,16925.88,253821.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015-02-15,73090378.47,612662.32,83472.18,520257.29,141892.66,115800.41,16925.88,242028.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2015-02-22,111100800.22,611879.65,57029.96,188114.2,48259.57,59691.7,29015.79,36742.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-01,64745052.95,854607.36,63831.51,409654.69,102810.14,81525.47,62219.89,158491.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-08,70774138.17,852235.82,65880.55,733537.22,133051.04,100515.72,36663.57,138813.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-15,130727968.55,1133977.27,76448.15,256927.87,247919.37,216230.11,36663.57,47919.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-22,71633710.77,1499565.65,111581.11,448748.58,138066.62,269925.33,61587.93,177859.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-29,88922739.21,371120.61,56460.64,738883.87,221699.28,104705.22,36164.83,137914.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-05,65777933.97,37609.88,92636.41,517676.06,186820.25,140855.93,53395.3,130098.82,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-12,75016497.36,399804.51,128377.13,322266.59,113476.08,58268.0,25002.0,115468.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-19,96438356.01,1835973.8,33971.91,253911.61,79661.16,79412.8,25002.0,39666.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-26,190030036.25,1281034.44,76331.89,422071.17,144569.57,148675.87,42860.57,347878.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-03,106526801.19,2004768.73,126961.41,796207.11,183944.57,296678.46,25070.07,552419.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-10,72085109.62,749867.46,44459.91,534880.08,179219.39,3115.01,50528.77,125853.64,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015-05-17,74421903.03,44798.89,145240.86,202411.2,250386.35,127821.61,42956.02,130434.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-24,132061381.41,609995.48,129235.37,101190.22,191737.04,169739.66,30183.94,112353.17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015-05-31,77690596.12,1670556.37,56594.13,193328.57,107506.03,125870.48,34471.97,36844.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-07,119823111.88,181565.27,35600.04,310401.44,198010.97,63921.46,54558.97,89791.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-14,96665486.19,1691872.92,104443.67,420786.19,183171.06,166127.44,37309.0,445654.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-21,63296503.58,364677.8,25456.33,439090.59,75357.48,213311.08,41117.21,65555.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-28,122461146.05,394206.58,95330.99,172690.98,102504.04,97349.82,40889.95,220183.82,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-05,69612354.65,307507.49,31479.81,485900.45,40324.23,213310.51,17799.48,122164.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-12,61722756.59,2126076.39,47193.66,300446.44,41422.39,600.78,38312.43,57915.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015-07-19,60584934.46,644679.25,81811.41,260724.1,79214.87,0.0,22444.36,45487.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-26,96275840.29,1031829.76,81055.5,316702.52,96888.96,63711.83,61788.22,28445.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-02,119468400.59,443777.53,96330.79,376926.47,100676.48,66008.57,15138.28,72808.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-09,134756598.35,416160.76,77698.33,459923.73,129329.71,96550.71,15138.28,114713.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-16,60062515.45,1474306.52,106188.92,247435.73,61538.94,132930.04,15138.28,57893.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-23,115402404.94,527024.17,104125.45,181933.38,137532.34,70754.33,25951.34,49519.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-30,69709932.62,673751.13,138373.84,121351.78,186763.14,155625.84,21498.85,149631.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-06,78474301.75,1448011.1,154866.35,677627.88,235416.66,233850.55,32107.14,297784.55,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
